n,id,name,forename,surname,course,school,tutor,career,year,support,photo,username
1011,10941974,Stven Barker,Stven,Barker,MBA Business Administration,Business School,Andrew Allen,UG,1,Y,22,xxygp5
1012,10331456,George Bawden,George,Bawden,BA Hons Geography with Business,Business School,Kevin Berry,UG,1,N,49,vqyxn5
1013,10182408,Carolyn Bentham,Carolyn,Bentham,MSc Business and Management,Biosciences,Kate Beard,UG,3,N,32,vvyin2
1014,10447069,Anthony Best,Anthony,Best,MBA Business Administration,Business School,Allison Chan,UG,2,N,31,zvyzf1
1015,10077892,Cameron Blake,Cameron,Blake,BSc Hons Accounting and Business,Business School,Allison Chan,UG,3,N,19,lnyjr7
1016,10040916,Caroline Bradley,Caroline,Bradley,MSc International Business,Law,Allison Chan,UG,1,N,10,wuyrm1
1017,10937952,Maurice Bradwell,Maurice,Bradwell,BA Hons Geography with Business,Politics and International Relations,Andrew Allen,UG,1,N,47,tpyas3
1018,10455805,Steven Bray,Steven,Bray,MBA Business Administration,Law,Joshua Clarke,UG,3,N,20,cyyay3
1019,10944271,Martin Brewster,Martin,Brewster,MSc International Business,Law,Patricia Collins,UG,2,N,43,lcyxd1
1020,10737553,John Brown,John,Brown,MSc International Business,Politics and International Relations,Patricia Collins,UG,4,N,7,oeyau0
1021,10487870,Paula Brown,Paula,Brown,MSc International Business,Biosciences,Kevin Berry,PGT,3,N,3,htygc5
1022,10843944,Mary Buckland,Mary,Buckland,MSc International Business,Politics and International Relations,Andrew Allen,UG,3,N,34,nuyad2
1023,10970853,Julie Burridge,Julie,Burridge,MSc Business and Management,Biosciences,Simon Chew,UG,3,N,36,twyno3
1024,10943001,David Camilleri,David,Camilleri,BA Hons Geography with Business,Philosophy,Susan Burke,UG,2,N,35,jeyyw1
1025,10111942,Hilary Carr,Hilary,Carr,BA Hons Geography with Business,Biosciences,Kate Beard,UG,3,N,29,dayiz9
1026,10517679,Jillian Chandley,Jillian,Chandley,BSc Hons Accounting and Business,Politics and International Relations,Kevin Berry,UG,3,N,18,ylyom8
1027,10311103,Thomas Chapple,Thomas,Chapple,MBA Business Administration,Politics and International Relations,Patricia Collins,UG,1,N,20,ltytn5
1028,10996338,Andrew Clark,Andrew,Clark,BSc Hons Accounting and Business,Politics and International Relations,Kevin Berry,UG,4,N,8,vdytm6
1029,10501522,Christina Clarke,Christina,Clarke,MSc Business and Management,Business School,Simon Chew,UG,3,N,47,ppyxf9
1030,10373910,Rabiaythul Clayton,Rabiaythul,Clayton,BSc Hons Accounting and Business,Biosciences,Patricia Collins,UG,3,N,4,zzytg7
1031,10177928,Steven Clayton,Steven,Clayton,BSc Hons Agricultural Business Management,Biosciences,Andrew Allen,UG,1,N,19,bzypf5
1032,10367996,Matthew Cole,Matthew,Cole,BA Hons Geography with Business,Biosciences,Frances Coady,UG,1,N,37,fqyvr3
1033,10784505,Alan Collins,Alan,Collins,MSc Business and Management,Business School,Patricia Collins,UG,2,N,39,dryfu9
1034,10832145,Geoffrey Colquitt,Geoffrey,Colquitt,BSc Hons Agricultural Business Management,Philosophy,Kate Beard,UG,1,N,32,ddykj8
1035,10027367,Carol Cook,Carol,Cook,BA Hons Geography with Business,Politics and International Relations,Allison Chan,UG,1,N,45,jiyuu1
1036,10080981,Julie Cooper,Julie,Cooper,MBA Business Administration,Law,Kate Beard,UG,1,N,44,ciymo5
1037,10636774,Victoria Cooper,Victoria,Cooper,MSc Business and Management,Business School,Andrew Allen,UG,1,N,44,ntyls5
1038,10788636,Paul Copperwheat,Paul,Copperwheat,MSc Business and Management,Politics and International Relations,Simon Chew,UG,1,N,17,foyon6
1039,10899430,Michelle Crowley,Michelle,Crowley,MSc Business and Management,Law,Susan Burke,UG,1,N,12,iuyeb5
1040,10160327,Martin Daniels,Martin,Daniels,MSc International Business,Biosciences,Allison Chan,UG,2,N,37,ncydo8
1041,10254630,Ian Davis,Ian,Davis,MSc International Business,Business School,Allison Chan,UG,1,N,1,eoymu5
1042,10192641,Michael Day,Michael,Day,MSc Business and Management,Biosciences,Susan Burke,UG,4,N,34,vdyyp8
1043,10210416,Scott Dear,Scott,Dear,BSc Hons Agricultural Business Management,Business School,Andrew Allen,UG,2,N,21,ceyrr4
1044,10836813,Esther Dickens,Esther,Dickens,BSc Hons Agricultural Business Management,Politics and International Relations,Kevin Berry,UG,4,N,48,lnymk1
1045,10045815,Debbie Dickerson,Debbie,Dickerson,MBA Business Administration,Business School,Simon Chew,PGT,3,N,22,tjyud1
1046,10271062,Jeremy Dunlop,Jeremy,Dunlop,BSc Hons Accounting and Business,Law,Kevin Berry,PGT,1,N,38,ymyzo3
1047,10848102,David Edwards,David,Edwards,MBA Business Administration,Business School,Patricia Collins,UG,1,N,22,ooyxc5
1048,10502852,Nicola Edwards,Nicola,Edwards,BA Hons Geography with Business,Law,Frances Coady,UG,3,N,20,eaybn9
1049,10868602,Simon Elford,Simon,Elford,MSc International Business,Philosophy,Kevin Berry,UG,1,N,42,wpyqd4
1050,10578127,Josephine Farrow,Josephine,Farrow,MSc International Business,Law,Patricia Collins,PGT,3,N,23,veyhg3
1051,10663234,Nicole Flynn,Nicole,Flynn,MSc International Business,Business School,Kevin Berry,PGT,1,N,23,gvyii7
1052,10017946,Suzanne Flynn,Suzanne,Flynn,BA Hons Geography with Business,Law,Kevin Berry,UG,1,Y,43,royef5
1053,10568051,Julie Foster,Julie,Foster,BA Hons Geography with Business,Philosophy,Joshua Clarke,PGT,2,N,6,exyja9
1054,10433335,James Fox,James,Fox,MSc Business and Management,Business School,Patricia Collins,UG,2,N,48,riyyn1
1055,10442543,Rosalyn Fox,Rosalyn,Fox,BA Hons Geography with Business,Law,Susan Burke,PGT,3,N,14,dmyzw8
1056,10649014,Cassandra French,Cassandra,French,BSc Hons Accounting and Business,Biosciences,Joshua Clarke,UG,2,N,20,hryua7
1057,10408021,Neil Furlong,Neil,Furlong,BSc Hons Accounting and Business,Politics and International Relations,Joshua Clarke,UG,2,N,4,kyyss5
1058,10775715,David Gadd,David,Gadd,BSc Hons Accounting and Business,Biosciences,Kevin Berry,PGT,3,N,30,vfyyz0
1059,10226770,Vinay Gagan,Vinay,Gagan,MBA Business Administration,Law,Andrew Allen,UG,2,N,46,qqywn7
1060,10794475,Lucinda Goodman,Lucinda,Goodman,MSc International Business,Law,Kevin Berry,UG,2,N,40,keywm2
1061,10182456,Patricia Gough,Patricia,Gough,BA Hons Geography with Business,Philosophy,Kate Beard,PGT,2,N,50,ddyuw2
1062,10326899,Victoria Gower,Victoria,Gower,BA Hons Geography with Business,Biosciences,Andrew Allen,UG,3,N,8,uzylp6
1063,10373153,Victor Green,Victor,Green,BSc Hons Accounting and Business,Politics and International Relations,Frances Coady,UG,3,Y,36,liypl7
1064,10558858,Marie Gregory,Marie,Gregory,BSc Hons Accounting and Business,Business School,Susan Burke,UG,1,N,1,dwywj4
1065,10566502,Mary Griffiths,Mary,Griffiths,MSc International Business,Business School,Frances Coady,UG,1,N,45,fnyqf8
1066,10783533,Amanda Hanshaw,Amanda,Hanshaw,MBA Business Administration,Biosciences,Kevin Berry,UG,1,N,30,ptyhi4
1067,10167792,Deborah Hard,Deborah,Hard,MSc Business and Management,Biosciences,Susan Burke,UG,1,N,6,cryjr5
1068,10061356,Catherine Harding,Catherine,Harding,BA Hons Geography with Business,Law,Allison Chan,UG,4,N,13,adysb1
1069,10543998,Joanne Harrison,Joanne,Harrison,BSc Hons Agricultural Business Management,Philosophy,Andrew Allen,UG,4,N,20,eeypc4
1070,10706062,Chelsey Hart,Chelsey,Hart,MSc International Business,Biosciences,Joshua Clarke,UG,4,N,7,jwymo4
1071,10575516,Emma Haughton,Emma,Haughton,BSc Hons Accounting and Business,Politics and International Relations,Joshua Clarke,UG,3,N,36,axyae0
1072,10961715,Phillip Hendy,Phillip,Hendy,MSc Business and Management,Business School,Andrew Allen,UG,2,Y,30,dnyri5
1073,10074798,Amanda Herrod,Amanda,Herrod,BSc Hons Accounting and Business,Philosophy,Simon Chew,UG,1,N,4,fwyhu6
1074,10623439,David Hewitt,David,Hewitt,MSc International Business,Philosophy,Allison Chan,UG,1,N,44,psyik7
1075,10103138,James Hick,James,Hick,BSc Hons Accounting and Business,Business School,Joshua Clarke,UG,1,N,43,atyge3
1076,10308335,Colin Hill,Colin,Hill,MSc International Business,Politics and International Relations,Joshua Clarke,UG,1,N,43,payyg8
1077,10228297,Nathan Hirsch,Nathan,Hirsch,BSc Hons Accounting and Business,Law,Joshua Clarke,UG,4,N,44,ctydg1
1078,10474087,Allwyn Hogg,Allwyn,Hogg,MSc Business and Management,Philosophy,Allison Chan,UG,3,N,35,uxynq5
1079,10011024,Wayne Houghton,Wayne,Houghton,BSc Hons Accounting and Business,Business School,Kevin Berry,UG,2,N,48,jfyqz0
1080,10780437,Stephen Howe,Stephen,Howe,BSc Hons Accounting and Business,Law,Kate Beard,UG,3,N,17,hjyep6
1081,10018270,Theresa Howe,Theresa,Howe,MBA Business Administration,Business School,Joshua Clarke,UG,1,N,46,alylw8
1082,10504182,Jennifer Hoyle,Jennifer,Hoyle,MSc International Business,Politics and International Relations,Andrew Allen,UG,2,N,49,ewyhd4
1083,10932232,Darryl Humble,Darryl,Humble,BSc Hons Agricultural Business Management,Philosophy,Joshua Clarke,UG,2,N,50,qxybp6
1084,10913762,Gordon Hussey,Gordon,Hussey,MSc International Business,Biosciences,Andrew Allen,UG,1,N,1,cnypf5
1085,10996032,Paul Hutchinson,Paul,Hutchinson,MSc International Business,Politics and International Relations,Kevin Berry,UG,3,Y,49,mtydg3
1086,10907795,Robin Jefford,Robin,Jefford,MBA Business Administration,Law,Frances Coady,UG,3,N,22,styjy6
1087,10785743,Nicholas Jenkins,Nicholas,Jenkins,BSc Hons Accounting and Business,Biosciences,Patricia Collins,UG,2,Y,21,bzyyc5
1088,10449302,Alan Johnson,Alan,Johnson,MSc International Business,Philosophy,Frances Coady,UG,1,N,42,gfyhw6
1089,10045751,Kevin Johnston,Kevin,Johnston,MSc International Business,Politics and International Relations,Allison Chan,UG,4,N,14,vjyzd2
1090,10598859,David Johnstone,David,Johnstone,MSc International Business,Business School,Patricia Collins,PGT,4,N,35,szygq0
1091,10817158,Christopher Jones,Christopher,Jones,MSc International Business,Law,Patricia Collins,UG,1,N,47,layai0
1092,10174742,Trevor Jones,Trevor,Jones,MSc International Business,Philosophy,Frances Coady,UG,2,N,34,dpysh8
1093,10970823,Vipin Joshi,Vipin,Joshi,BSc Hons Accounting and Business,Biosciences,Patricia Collins,UG,1,N,47,mtyaz8
1094,10189406,Louise Keen,Louise,Keen,BSc Hons Agricultural Business Management,Business School,Patricia Collins,UG,4,N,34,hvyeb6
1095,10867009,Lee Kerr,Lee,Kerr,BSc Hons Accounting and Business,Business School,Kevin Berry,UG,3,N,7,guylr8
1096,10863110,Mohammed Khan,Mohammed,Khan,MSc Business and Management,Law,Joshua Clarke,UG,3,N,29,hkyuk4
1097,10799127,Timothy Lacey,Timothy,Lacey,BSc Hons Agricultural Business Management,Law,Joshua Clarke,UG,3,N,23,yzyig7
1098,10999659,John Lancaster,John,Lancaster,MBA Business Administration,Law,Simon Chew,UG,2,Y,11,ncybj2
1099,10953561,Laurence Levey,Laurence,Levey,BA Hons Geography with Business,Law,Susan Burke,UG,1,N,6,auyib1
1100,10174668,Jonathan Lewis,Jonathan,Lewis,BSc Hons Agricultural Business Management,Law,Joshua Clarke,UG,1,N,17,foyie1
1101,10041698,Hayley Lewis,Hayley,Lewis,MBA Business Administration,Philosophy,Andrew Allen,UG,1,N,5,lrybg3
1102,10529223,Lina Lin,Lina,Lin,BA Hons Geography with Business,Law,Andrew Allen,UG,1,N,50,lcyti2
1103,10035005,Phyllis Lister,Phyllis,Lister,MSc International Business,Business School,Patricia Collins,UG,4,N,23,idyrr7
1104,10867686,Christine Little,Christine,Little,MSc International Business,Biosciences,Patricia Collins,PGT,2,N,5,uuyzk6
1105,10181283,Catherine Lloyd,Catherine,Lloyd,MSc Business and Management,Philosophy,Allison Chan,UG,3,N,44,zkyxp3
1106,10463855,Christine Longmore,Christine,Longmore,MSc International Business,Philosophy,Simon Chew,UG,2,N,29,sdyik5
1107,10728284,Christopher Lovell,Christopher,Lovell,BSc Hons Agricultural Business Management,Law,Kevin Berry,UG,1,N,10,hvyjj8
1108,10670360,Kathryn Lyons,Kathryn,Lyons,BA Hons Geography with Business,Philosophy,Simon Chew,UG,2,N,17,snyfx5
1109,10596083,Julie MacMillan,Julie,MacMillan,MSc International Business,Biosciences,Kate Beard,PGT,3,N,24,maysg9
1110,10025423,Simon Manger,Simon,Manger,BSc Hons Agricultural Business Management,Philosophy,Simon Chew,UG,1,N,1,eeyrf3
1111,10447836,Linda Mann,Linda,Mann,BSc Hons Accounting and Business,Politics and International Relations,Kevin Berry,UG,2,N,12,ejyys7
1112,10322149,Greg Manson,Greg,Manson,BA Hons Geography with Business,Law,Frances Coady,UG,3,N,17,omysw1
1113,10440128,Christopher Marshall,Christopher,Marshall,BSc Hons Agricultural Business Management,Law,Simon Chew,UG,2,N,40,tcydr2
1114,10449228,Susan Mason,Susan,Mason,MBA Business Administration,Politics and International Relations,Kevin Berry,UG,2,N,46,qkyfd6
1115,10752198,Jonathan Matthews,Jonathan,Matthews,MSc International Business,Business School,Kevin Berry,PGT,1,N,13,dfyls2
1116,10162772,Mark McCarthy,Mark,McCarthy,MSc Business and Management,Law,Patricia Collins,UG,1,N,49,mcyse5
1117,10707364,Neil McGrath,Neil,McGrath,BA Hons Geography with Business,Business School,Frances Coady,UG,1,N,35,fayds4
1118,10628633,Andrew McIntyre,Andrew,McIntyre,MSc International Business,Philosophy,Patricia Collins,UG,3,N,16,teyab0
1119,10328163,Mark McKenzie,Mark,McKenzie,BSc Hons Agricultural Business Management,Politics and International Relations,Joshua Clarke,UG,3,N,3,asytp8
1120,10663467,Marjorie McLeod,Marjorie,McLeod,BSc Hons Accounting and Business,Philosophy,Kate Beard,UG,2,N,38,ntydk0
1121,10459505,William McMillan,William,McMillan,MSc Business and Management,Philosophy,Andrew Allen,UG,4,Y,40,boyer0
1122,10162261,Peter McNab,Peter,McNab,BSc Hons Agricultural Business Management,Law,Frances Coady,PGT,2,N,26,jjyjc4
1123,10244547,Vincent Miller,Vincent,Miller,MSc International Business,Law,Kevin Berry,PGT,3,N,4,lkyuj1
1124,10132971,Rowan Mitchell,Rowan,Mitchell,MSc International Business,Business School,Kevin Berry,UG,2,Y,2,yiyqe8
1125,10747073,Roland Moore,Roland,Moore,BA Hons Geography with Business,Politics and International Relations,Kevin Berry,UG,1,N,14,rrybe8
1126,10364489,Sharon Morrin,Sharon,Morrin,BSc Hons Accounting and Business,Biosciences,Kate Beard,UG,1,N,7,fnyhg2
1127,10251125,David Morrow,David,Morrow,BSc Hons Agricultural Business Management,Politics and International Relations,Frances Coady,UG,1,N,35,ofyrm5
1128,10906099,Garry Newsome,Garry,Newsome,BSc Hons Agricultural Business Management,Law,Kate Beard,UG,3,N,25,xeyzu2
1129,10667223,Arvin Norris,Arvin,Norris,BSc Hons Accounting and Business,Biosciences,Simon Chew,UG,3,N,17,hayad5
1130,10615469,Francis O'Rourke,Francis,O'Rourke,MBA Business Administration,Biosciences,Allison Chan,PGT,2,N,7,deyma5
1131,10966285,Michael Owen,Michael,Owen,MSc International Business,Business School,Joshua Clarke,UG,2,N,16,lrywo0
1132,10777096,Catherine Page,Catherine,Page,BSc Hons Accounting and Business,Business School,Patricia Collins,UG,2,Y,21,bzynm2
1133,10009967,Lisa Palmer,Lisa,Palmer,MSc International Business,Law,Kevin Berry,UG,1,N,29,tyykv8
1134,10425339,Sarah Payne,Sarah,Payne,BSc Hons Agricultural Business Management,Law,Kate Beard,PGT,2,N,1,ffyvh5
1135,10917727,Richard Pearson,Richard,Pearson,BSc Hons Accounting and Business,Biosciences,Allison Chan,UG,2,N,10,yyyda1
1136,10005787,Theodore Pearson,Theodore,Pearson,MBA Business Administration,Politics and International Relations,Susan Burke,UG,4,N,37,zjyah7
1137,10160117,Harry Pilkington,Harry,Pilkington,MSc Business and Management,Philosophy,Kevin Berry,UG,3,N,12,mzybu6
1138,10862807,Rebecca Press,Rebecca,Press,MBA Business Administration,Biosciences,Allison Chan,UG,2,N,31,pgydo4
1139,10653104,David Purchase,David,Purchase,MSc International Business,Law,Joshua Clarke,PGT,3,N,21,fiyot9
1140,10893000,Jordan Randall,Jordan,Randall,BSc Hons Agricultural Business Management,Politics and International Relations,Susan Burke,UG,1,N,13,dryln6
1141,10924522,Andrew Ratcliffe,Andrew,Ratcliffe,MSc International Business,Law,Allison Chan,PGT,2,N,50,icyge7
1142,10957719,Peter Reed,Peter,Reed,MBA Business Administration,Politics and International Relations,Frances Coady,UG,3,N,29,acyjm5
1143,10597258,Shirley Reynolds,Shirley,Reynolds,BSc Hons Accounting and Business,Biosciences,Joshua Clarke,UG,2,N,15,zlywu5
1144,10450936,Stephen Rhoades,Stephen,Rhoades,MBA Business Administration,Philosophy,Joshua Clarke,UG,1,N,49,dxyna7
1145,10664570,Chloe Rice,Chloe,Rice,MSc Business and Management,Law,Simon Chew,PGT,3,N,38,jkyuo7
1146,10716324,Michael Richards,Michael,Richards,BA Hons Geography with Business,Philosophy,Joshua Clarke,UG,1,N,17,eyycy7
1147,10041235,George Richardson,George,Richardson,BSc Hons Agricultural Business Management,Philosophy,Patricia Collins,UG,1,N,44,zwydn6
1148,10780298,Ian Robertson,Ian,Robertson,MBA Business Administration,Biosciences,Susan Burke,PGT,1,N,23,hnykb8
1149,10425070,Martin Robson,Martin,Robson,BA Hons Geography with Business,Biosciences,Joshua Clarke,UG,2,N,8,qryzh7
1150,10430733,Sharon Rodgers,Sharon,Rodgers,BSc Hons Accounting and Business,Biosciences,Joshua Clarke,UG,1,Y,42,joygd5
1151,10018233,Gemma Rogers,Gemma,Rogers,BA Hons Geography with Business,Politics and International Relations,Andrew Allen,UG,2,N,1,gpydq9
1152,10165845,Carmel Rouse,Carmel,Rouse,MBA Business Administration,Philosophy,Simon Chew,UG,1,N,11,ogylf4
1153,10718437,Douglas Rowe,Douglas,Rowe,BSc Hons Agricultural Business Management,Politics and International Relations,Kevin Berry,UG,2,N,12,tbyto1
1154,10668681,Alfred Russell,Alfred,Russell,BSc Hons Agricultural Business Management,Business School,Frances Coady,UG,4,Y,12,axyyp5
1155,10431240,Luigi Sacco,Luigi,Sacco,MSc Business and Management,Philosophy,Andrew Allen,PGT,3,N,6,teyhl9
1156,10000732,Jake Saunders,Jake,Saunders,MSc International Business,Law,Frances Coady,UG,1,N,10,jnycg2
1157,10207588,Rodney Schofield,Rodney,Schofield,BA Hons Geography with Business,Philosophy,Frances Coady,PGT,3,Y,44,qjydz0
1158,10843940,Leisha Scott,Leisha,Scott,BSc Hons Agricultural Business Management,Business School,Patricia Collins,UG,1,N,12,xhynn4
1159,10633618,Gary Scott,Gary,Scott,BSc Hons Agricultural Business Management,Philosophy,Patricia Collins,UG,1,N,40,nuygi2
1160,10273358,Anne Scriven,Anne,Scriven,BSc Hons Accounting and Business,Law,Simon Chew,UG,2,N,25,kwyod8
1161,10444520,Paul Shipp,Paul,Shipp,BSc Hons Accounting and Business,Philosophy,Andrew Allen,PGT,2,N,24,jqygo3
1162,10008116,Peter Silver,Peter,Silver,BSc Hons Agricultural Business Management,Business School,Frances Coady,UG,1,N,4,xdymm2
1163,10501222,Richard Simmons,Richard,Simmons,MSc International Business,Politics and International Relations,Kevin Berry,PGT,3,N,28,liynw4
1164,10234454,Claire Sinclair,Claire,Sinclair,MBA Business Administration,Biosciences,Simon Chew,UG,1,N,39,bxylf0
1165,10153538,Stephen Sinclair,Stephen,Sinclair,MSc Business and Management,Business School,Simon Chew,UG,1,N,41,psyrs7
1166,10676658,Gurpal Singh,Gurpal,Singh,BSc Hons Accounting and Business,Business School,Kate Beard,UG,3,N,35,wrybv7
1167,10599018,Kevin Slevin,Kevin,Slevin,BSc Hons Agricultural Business Management,Business School,Joshua Clarke,PGT,3,N,41,bpyue6
1168,10025331,Priscilla Sloan,Priscilla,Sloan,MSc International Business,Philosophy,Joshua Clarke,UG,1,N,39,vbycl1
1169,10362501,Brian Smith,Brian,Smith,BSc Hons Agricultural Business Management,Philosophy,Allison Chan,UG,3,N,45,wwypd3
1170,10528753,Linda Smith,Linda,Smith,BSc Hons Accounting and Business,Business School,Kevin Berry,PGT,2,N,50,ncyvi6
1171,10597277,Madeline Smith,Madeline,Smith,MSc Business and Management,Law,Andrew Allen,PGT,2,Y,9,mkyjj2
1172,10184323,Darren Speck,Darren,Speck,MSc Business and Management,Philosophy,Patricia Collins,PGT,1,N,41,ovyes0
1173,10058314,Paul Stafford,Paul,Stafford,BA Hons Geography with Business,Philosophy,Susan Burke,UG,1,N,30,dsyyq5
1174,10882972,Allan Steward,Allan,Steward,BSc Hons Agricultural Business Management,Law,Allison Chan,UG,1,N,33,wfyna8
1175,10971230,David Stewart,David,Stewart,BSc Hons Accounting and Business,Biosciences,Kevin Berry,UG,2,N,9,skywl3
1176,10961476,Paul Stewart,Paul,Stewart,MSc International Business,Business School,Frances Coady,UG,1,N,40,rcytg4
1177,10529134,Frank Stirling,Frank,Stirling,BA Hons Geography with Business,Law,Susan Burke,UG,3,N,9,tiyqc3
1178,10077146,Anne Stormont,Anne,Stormont,MSc International Business,Politics and International Relations,Andrew Allen,UG,3,N,42,pyyle9
1179,10930067,David Storr,David,Storr,BSc Hons Agricultural Business Management,Politics and International Relations,Kate Beard,UG,1,N,20,ktyfy4
1180,10516847,Sian Thomas,Sian,Thomas,MBA Business Administration,Business School,Kevin Berry,PGT,2,N,50,tnypd7
1181,10026621,Anna Timlin,Anna,Timlin,BA Hons Geography with Business,Business School,Allison Chan,UG,1,N,47,mxyof9
1182,10705282,Kelly Tinkler,Kelly,Tinkler,BA Hons Geography with Business,Philosophy,Kevin Berry,UG,1,N,34,vryqd3
1183,10527187,Alex Toogood,Alex,Toogood,BA Hons Geography with Business,Law,Kate Beard,UG,4,N,15,fuyfc9
1184,10427061,Jonathan Turner,Jonathan,Turner,BSc Hons Accounting and Business,Law,Joshua Clarke,UG,1,N,10,xnyeh9
1185,10843032,Gillian Tyler,Gillian,Tyler,BSc Hons Agricultural Business Management,Law,Joshua Clarke,UG,1,N,4,wxybl4
1186,10201421,Thomas Tyler,Thomas,Tyler,MBA Business Administration,Politics and International Relations,Kate Beard,UG,4,N,7,quyzw4
1187,10588925,Marvin Tyson,Marvin,Tyson,BA Hons Geography with Business,Biosciences,Patricia Collins,UG,4,N,7,xiypd3
1188,10111606,Niki Wardle,Niki,Wardle,BA Hons Geography with Business,Biosciences,Kevin Berry,UG,2,N,35,ryyll5
1189,10163266,Sharon Watson,Sharon,Watson,BSc Hons Accounting and Business,Law,Andrew Allen,UG,1,N,24,nkykz3
1190,10484765,Shelia Watts,Shelia,Watts,BA Hons Geography with Business,Biosciences,Joshua Clarke,UG,1,N,46,ypyww2
1191,10081481,Carl Welton,Carl,Welton,BSc Hons Agricultural Business Management,Law,Allison Chan,PGT,2,N,17,dtyyj3
1192,10918411,Hamish Wheeler,Hamish,Wheeler,MSc International Business,Biosciences,Joshua Clarke,UG,1,N,19,pyyst4
1193,10137439,Jacqueline Whitlock,Jacqueline,Whitlock,MBA Business Administration,Philosophy,Joshua Clarke,PGT,2,N,7,seyln8
1194,10099668,Michael Wilcockson,Michael,Wilcockson,BA Hons Geography with Business,Law,Allison Chan,UG,4,N,9,icytc2
1195,10937129,Agnes Wilson,Agnes,Wilson,MSc Business and Management,Philosophy,Patricia Collins,UG,1,Y,5,qqyxy0
1196,10425930,Karen Woodfield,Karen,Woodfield,MBA Business Administration,Business School,Joshua Clarke,UG,1,N,8,zuyop4
1197,10706278,Paul Woodward,Paul,Woodward,MBA Business Administration,Philosophy,Kevin Berry,UG,4,N,19,ksyie3
1198,10341076,Stephen Wright,Stephen,Wright,MSc International Business,Philosophy,Patricia Collins,UG,1,N,21,ppyux0
1199,10724309,Tracy Wright,Tracy,Wright,BSc Hons Accounting and Business,Business School,Kevin Berry,PGT,1,N,9,pgyey2
1200,10616905,Alexander Wylie,Alexander,Wylie,MBA Business Administration,Politics and International Relations,Frances Coady,UG,1,N,33,dyyxv5
1201,10014970,Fadumo Ahmed,Fadumo,Ahmed,BA Hons Geography with Business,Biosciences,Kate Beard,UG,2,N,45,dzysl5
1202,10392903,Blagorodna Allen,Blagorodna,Allen,MSc International Business,Business School,Kate Beard,UG,3,N,18,zfyll8
1203,10494350,Louisa Allen,Louisa,Allen,MSc International Business,Biosciences,Kate Beard,UG,2,N,24,mgyvc4
1204,10009172,Pratibha Amin,Pratibha,Amin,MSc International Business,Biosciences,Allison Chan,UG,3,N,24,kyybr7
1205,10167134,David Anderson,David,Anderson,BSc Hons Accounting and Business,Philosophy,Kevin Berry,UG,3,N,48,yoyed1
1206,10114689,Gail Andrews,Gail,Andrews,BSc Hons Agricultural Business Management,Business School,Kevin Berry,UG,3,N,32,ztyrp6
1207,10654878,Rosemary Angell,Rosemary,Angell,MSc International Business,Biosciences,Andrew Allen,UG,1,N,43,reybm0
1208,10342558,Shaun Armitage,Shaun,Armitage,MSc International Business,Philosophy,Kevin Berry,PGT,1,N,23,mrybp8
1209,10848765,Simon Aston,Simon,Aston,MSc International Business,Politics and International Relations,Allison Chan,UG,1,N,3,buyuu2
1210,10301634,Davinia Baker,Davinia,Baker,MSc Business and Management,Politics and International Relations,Kate Beard,UG,3,N,25,daytw5
1211,10694913,Leslie Barnes,Leslie,Barnes,BSc Hons Agricultural Business Management,Business School,Patricia Collins,PGT,1,N,47,zsynk3
1212,10425124,Sarah Barron,Sarah,Barron,BSc Hons Agricultural Business Management,Philosophy,Allison Chan,UG,1,Y,8,cuylq4
1213,10635535,Christopher Bates,Christopher,Bates,BSc Hons Agricultural Business Management,Philosophy,Allison Chan,UG,2,N,27,tvyyu5
1214,10614495,David Beech,David,Beech,BSc Hons Agricultural Business Management,Business School,Patricia Collins,UG,1,Y,50,miykg8
1215,10608985,Angela Bevan,Angela,Bevan,BSc Hons Accounting and Business,Biosciences,Joshua Clarke,UG,2,N,41,ylyfw6
1216,10322234,Leanne Bradford,Leanne,Bradford,BA Hons Geography with Business,Law,Allison Chan,PGT,1,Y,31,hlyyg5
1217,10412664,James Brooks,James,Brooks,MBA Business Administration,Politics and International Relations,Joshua Clarke,UG,3,N,42,phylf6
1218,10251571,Shirley Browne,Shirley,Browne,BA Hons Geography with Business,Politics and International Relations,Kevin Berry,PGT,1,N,46,sryvj8
1219,10233853,Debra Buckley,Debra,Buckley,BA Hons Geography with Business,Politics and International Relations,Andrew Allen,UG,2,N,18,mlyjy9
1220,10244444,Rod Burden,Rod,Burden,MSc Business and Management,Business School,Joshua Clarke,UG,1,N,7,nuype5
1221,10830333,Peter Burns,Peter,Burns,MSc International Business,Business School,Patricia Collins,UG,3,N,31,biymt3
1222,10017897,Patricia Burns,Patricia,Burns,BA Hons Geography with Business,Politics and International Relations,Frances Coady,PGT,1,N,41,euyiv6
1223,10325225,Andrew Burton,Andrew,Burton,MBA Business Administration,Business School,Kevin Berry,UG,2,N,29,layqd0
1224,10635349,Andrew Callander,Andrew,Callander,MSc Business and Management,Philosophy,Kate Beard,UG,2,N,38,neygq9
1225,10315037,Stuart Caller,Stuart,Caller,MSc Business and Management,Business School,Andrew Allen,UG,2,N,42,gtypw9
1226,10842703,Baillie Cameron,Baillie,Cameron,BSc Hons Accounting and Business,Business School,Susan Burke,PGT,3,N,20,hnyru7
1227,10748909,Michael Campbell,Michael,Campbell,BSc Hons Accounting and Business,Law,Patricia Collins,UG,3,N,40,caysd2
1228,10024784,Susan Campbell,Susan,Campbell,MSc Business and Management,Business School,Susan Burke,UG,4,Y,11,zoyfy3
